"","year","edu","age","rate","age_range"
"1",1960,"BAo","2534",0.238995227752286,"25 to 34"
"2",1960,"BAo","3544",0.132626470652928,"35 to 44"
"3",1960,"BAo","4554",0.15360888530434,"45 to 54"
"4",1960,"BAp","2534",0.238995227752286,"25 to 34"
"5",1960,"BAp","3544",0.132626470652928,"35 to 44"
"6",1960,"BAp","4554",0.15360888530434,"45 to 54"
"7",1970,"BAo","2534",0.218703096762337,"25 to 34"
"8",1970,"BAo","3544",0.111689880345752,"35 to 44"
"9",1970,"BAo","4554",0.104660466046605,"45 to 54"
"10",1970,"BAp","2534",0.218703096762337,"25 to 34"
"11",1970,"BAp","3544",0.111689880345752,"35 to 44"
"12",1970,"BAp","4554",0.104660466046605,"45 to 54"
"13",1980,"BAo","2534",0.288164620190605,"25 to 34"
"14",1980,"BAo","3544",0.105610210050518,"35 to 44"
"15",1980,"BAo","4554",0.0862377442209976,"45 to 54"
"16",1980,"BAp","2534",0.288164620190605,"25 to 34"
"17",1980,"BAp","3544",0.105610210050518,"35 to 44"
"18",1980,"BAp","4554",0.0862377442209976,"45 to 54"
"19",1990,"BAo","2534",0.365665464230391,"25 to 34"
"20",1990,"BAo","3544",0.125856744252695,"35 to 44"
"21",1990,"BAo","4554",0.0641652868792311,"45 to 54"
"22",1990,"BAp","2534",0.361296789306803,"25 to 34"
"23",1990,"BAp","3544",0.128517227685652,"35 to 44"
"24",1990,"BAp","4554",0.0730188438300623,"45 to 54"
"25",2000,"BAo","2534",0.393957934136195,"25 to 34"
"26",2000,"BAo","3544",0.153629862597413,"35 to 44"
"27",2000,"BAo","4554",0.090974724299238,"45 to 54"
"28",2000,"BAp","2534",0.387490564497564,"25 to 34"
"29",2000,"BAp","3544",0.154123816348872,"35 to 44"
"30",2000,"BAp","4554",0.0920841686800982,"45 to 54"
"31",2001,"BAo","2534",0.392514840878452,"25 to 34"
"32",2001,"BAo","3544",0.152492291381942,"35 to 44"
"33",2001,"BAo","4554",0.0931347984403595,"45 to 54"
"34",2001,"BAp","2534",0.38356864658908,"25 to 34"
"35",2001,"BAp","3544",0.154815061674055,"35 to 44"
"36",2001,"BAp","4554",0.0933336487530189,"45 to 54"
"37",2002,"BAo","2534",0.387083979084282,"25 to 34"
