"","year","edu","age","rate","age_range"
"1",1960,"HS","3544",0.0348888663159724,"35 to 44"
"2",1960,"HS","4554",0.0400714231890458,"45 to 54"
"3",1970,"HS","3544",0.0499998424010515,"35 to 44"
"4",1970,"HS","4554",0.0505657626130067,"45 to 54"
"5",1980,"HS","3544",0.104151278087304,"35 to 44"
"6",1980,"HS","4554",0.0856635078947194,"45 to 54"
"7",1990,"HS","3544",0.159380946957268,"35 to 44"
"8",1990,"HS","4554",0.140779141034781,"45 to 54"
"9",2000,"HS","3544",0.175446156982954,"35 to 44"
"10",2000,"HS","4554",0.184776759155739,"45 to 54"
"11",2001,"HS","3544",0.174116037641218,"35 to 44"
"12",2001,"HS","4554",0.190236575817992,"45 to 54"
"13",2002,"HS","3544",0.174769314328559,"35 to 44"
"14",2002,"HS","4554",0.192090403125392,"45 to 54"
"15",2003,"HS","3544",0.172544834700036,"35 to 44"
"16",2003,"HS","4554",0.19489112531849,"45 to 54"
"17",2004,"HS","3544",0.177564545613702,"35 to 44"
"18",2004,"HS","4554",0.193739411583143,"45 to 54"
"19",2005,"HS","3544",0.17516352826892,"35 to 44"
"20",2005,"HS","4554",0.19721310428062,"45 to 54"
"21",2006,"HS","3544",0.18943672859424,"35 to 44"
"22",2006,"HS","4554",0.210707702398944,"45 to 54"
"23",2007,"HS","3544",0.187216410920835,"35 to 44"
"24",2007,"HS","4554",0.212744086245802,"45 to 54"
"25",2008,"HS","3544",0.18837663464662,"35 to 44"
"26",2008,"HS","4554",0.216824324901621,"45 to 54"
"27",2009,"HS","3544",0.186987579034161,"35 to 44"
"28",2009,"HS","4554",0.217975116517082,"45 to 54"
"29",2010,"HS","3544",0.189895803857904,"35 to 44"
"30",2010,"HS","4554",0.224316503079428,"45 to 54"
"31",2011,"HS","3544",0.192398917305487,"35 to 44"
"32",2011,"HS","4554",0.225632465829186,"45 to 54"
"33",2012,"HS","3544",0.190206333214362,"35 to 44"
"34",2012,"HS","4554",0.228668520729024,"45 to 54"
