"","year","date","BAp_3544"
"1",1960,"1960-01-01",0.027512772738678
"2",1970,"1970-01-01",0.0412594544063908
"3",1980,"1980-01-01",0.0977720774973882
"4",1990,"1990-01-01",0.114955328208071
"5",2000,"2000-01-01",0.10561771655104
"6",2001,"2001-01-01",0.107038860737608
"7",2002,"2002-01-01",0.103442190655695
"8",2003,"2003-01-01",0.102549903857769
"9",2004,"2004-01-01",0.100336652484701
"10",2005,"2005-01-01",0.0994806594731031
"11",2006,"2006-01-01",0.103835499536681
"12",2007,"2007-01-01",0.103929415650389
"13",2008,"2008-01-01",0.10201919444464
"14",2009,"2009-01-01",0.101942606931431
"15",2010,"2010-01-01",0.103063846911137
"16",2011,"2011-01-01",0.107760526453441
"17",2012,"2012-01-01",0.107406661717148
