"","year","edu_HDip_only","age_HDip_only","rate_HDip_only","age_range_HDip_only","edu_BAcHigher","age_BAcHigher","rate_BAcHigher","age_range_BAcHigher"
"1",1960,"HS","2534",0.109533164351255,"25 to 34","BAo","2534",0.238995227752286,"25 to 34"
"2",1960,"HS","2534",0.109533164351255,"25 to 34","BAo","3544",0.132626470652928,"35 to 44"
"3",1960,"HS","2534",0.109533164351255,"25 to 34","BAo","4554",0.15360888530434,"45 to 54"
"4",1960,"HS","2534",0.109533164351255,"25 to 34","BAp","2534",0.238995227752286,"25 to 34"
"5",1960,"HS","2534",0.109533164351255,"25 to 34","BAp","3544",0.132626470652928,"35 to 44"
"6",1960,"HS","2534",0.109533164351255,"25 to 34","BAp","4554",0.15360888530434,"45 to 54"
"7",1960,"HS","3544",0.0686030915299326,"35 to 44","BAo","2534",0.238995227752286,"25 to 34"
"8",1960,"HS","3544",0.0686030915299326,"35 to 44","BAo","3544",0.132626470652928,"35 to 44"
"9",1960,"HS","3544",0.0686030915299326,"35 to 44","BAo","4554",0.15360888530434,"45 to 54"
"10",1960,"HS","3544",0.0686030915299326,"35 to 44","BAp","2534",0.238995227752286,"25 to 34"
"11",1960,"HS","3544",0.0686030915299326,"35 to 44","BAp","3544",0.132626470652928,"35 to 44"
"12",1960,"HS","3544",0.0686030915299326,"35 to 44","BAp","4554",0.15360888530434,"45 to 54"
"13",1960,"HS","4554",0.0684079151982292,"45 to 54","BAo","2534",0.238995227752286,"25 to 34"
"14",1960,"HS","4554",0.0684079151982292,"45 to 54","BAo","3544",0.132626470652928,"35 to 44"
"15",1960,"HS","4554",0.0684079151982292,"45 to 54","BAo","4554",0.15360888530434,"45 to 54"
"16",1960,"HS","4554",0.0684079151982292,"45 to 54","BAp","2534",0.238995227752286,"25 to 34"
"17",1960,"HS","4554",0.0684079151982292,"45 to 54","BAp","3544",0.132626470652928,"35 to 44"
"18",1960,"HS","4554",0.0684079151982292,"45 to 54","BAp","4554",0.15360888530434,"45 to 54"
"19",1970,"HS","2534",0.10940002390343,"25 to 34","BAo","2534",0.218703096762337,"25 to 34"
"20",1970,"HS","2534",0.10940002390343,"25 to 34","BAo","3544",0.111689880345752,"35 to 44"
"21",1970,"HS","2534",0.10940002390343,"25 to 34","BAo","4554",0.104660466046605,"45 to 54"
"22",1970,"HS","2534",0.10940002390343,"25 to 34","BAp","2534",0.218703096762337,"25 to 34"
"23",1970,"HS","2534",0.10940002390343,"25 to 34","BAp","3544",0.111689880345752,"35 to 44"
"24",1970,"HS","2534",0.10940002390343,"25 to 34","BAp","4554",0.104660466046605,"45 to 54"
"25",1970,"HS","3544",0.0651196369636964,"35 to 44","BAo","2534",0.218703096762337,"25 to 34"
"26",1970,"HS","3544",0.0651196369636964,"35 to 44","BAo","3544",0.111689880345752,"35 to 44"
"27",1970,"HS","3544",0.0651196369636964,"35 to 44","BAo","4554",0.104660466046605,"45 to 54"
"28",1970,"HS","3544",0.0651196369636964,"35 to 44","BAp","2534",0.218703096762337,"25 to 34"
"29",1970,"HS","3544",0.0651196369636964,"35 to 44","BAp","3544",0.111689880345752,"35 to 44"
"30",1970,"HS","3544",0.0651196369636964,"35 to 44","BAp","4554",0.104660466046605,"45 to 54"
"31",1970,"HS","4554",0.0583343860362166,"45 to 54","BAo","2534",0.218703096762337,"25 to 34"
"32",1970,"HS","4554",0.0583343860362166,"45 to 54","BAo","3544",0.111689880345752,"35 to 44"
"33",1970,"HS","4554",0.0583343860362166,"45 to 54","BAo","4554",0.104660466046605,"45 to 54"
"34",1970,"HS","4554",0.0583343860362166,"45 to 54","BAp","2534",0.218703096762337,"25 to 34"
"35",1970,"HS","4554",0.0583343860362166,"45 to 54","BAp","3544",0.111689880345752,"35 to 44"
"36",1970,"HS","4554",0.0583343860362166,"45 to 54","BAp","4554",0.104660466046605,"45 to 54"
"37",1980,"HS","2534",0.16173134437427,"25 to 34","BAo","2534",0.288164620190605,"25 to 34"
"38",1980,"HS","2534",0.16173134437427,"25 to 34","BAo","3544",0.105610210050518,"35 to 44"
"39",1980,"HS","2534",0.16173134437427,"25 to 34","BAo","4554",0.0862377442209976,"45 to 54"
"40",1980,"HS","2534",0.16173134437427,"25 to 34","BAp","2534",0.288164620190605,"25 to 34"
"41",1980,"HS","2534",0.16173134437427,"25 to 34","BAp","3544",0.105610210050518,"35 to 44"
"42",1980,"HS","2534",0.16173134437427,"25 to 34","BAp","4554",0.0862377442209976,"45 to 54"
"43",1980,"HS","3544",0.0642910182194713,"35 to 44","BAo","2534",0.288164620190605,"25 to 34"
"44",1980,"HS","3544",0.0642910182194713,"35 to 44","BAo","3544",0.105610210050518,"35 to 44"
"45",1980,"HS","3544",0.0642910182194713,"35 to 44","BAo","4554",0.0862377442209976,"45 to 54"
"46",1980,"HS","3544",0.0642910182194713,"35 to 44","BAp","2534",0.288164620190605,"25 to 34"
"47",1980,"HS","3544",0.0642910182194713,"35 to 44","BAp","3544",0.105610210050518,"35 to 44"
"48",1980,"HS","3544",0.0642910182194713,"35 to 44","BAp","4554",0.0862377442209976,"45 to 54"
"49",1980,"HS","4554",0.0503656291012048,"45 to 54","BAo","2534",0.288164620190605,"25 to 34"
"50",1980,"HS","4554",0.0503656291012048,"45 to 54","BAo","3544",0.105610210050518,"35 to 44"
"51",1980,"HS","4554",0.0503656291012048,"45 to 54","BAo","4554",0.0862377442209976,"45 to 54"
"52",1980,"HS","4554",0.0503656291012048,"45 to 54","BAp","2534",0.288164620190605,"25 to 34"
"53",1980,"HS","4554",0.0503656291012048,"45 to 54","BAp","3544",0.105610210050518,"35 to 44"
"54",1980,"HS","4554",0.0503656291012048,"45 to 54","BAp","4554",0.0862377442209976,"45 to 54"
"55",1990,"HS","2534",0.277749135455863,"25 to 34","BAo","2534",0.365665464230391,"25 to 34"
"56",1990,"HS","2534",0.277749135455863,"25 to 34","BAo","3544",0.125856744252695,"35 to 44"
"57",1990,"HS","2534",0.277749135455863,"25 to 34","BAo","4554",0.0641652868792311,"45 to 54"
"58",1990,"HS","2534",0.277749135455863,"25 to 34","BAp","2534",0.361296789306803,"25 to 34"
"59",1990,"HS","2534",0.277749135455863,"25 to 34","BAp","3544",0.128517227685652,"35 to 44"
"60",1990,"HS","2534",0.277749135455863,"25 to 34","BAp","4554",0.0730188438300623,"45 to 54"
"61",1990,"HS","3544",0.112100427354988,"35 to 44","BAo","2534",0.365665464230391,"25 to 34"
"62",1990,"HS","3544",0.112100427354988,"35 to 44","BAo","3544",0.125856744252695,"35 to 44"
"63",1990,"HS","3544",0.112100427354988,"35 to 44","BAo","4554",0.0641652868792311,"45 to 54"
"64",1990,"HS","3544",0.112100427354988,"35 to 44","BAp","2534",0.361296789306803,"25 to 34"
"65",1990,"HS","3544",0.112100427354988,"35 to 44","BAp","3544",0.128517227685652,"35 to 44"
"66",1990,"HS","3544",0.112100427354988,"35 to 44","BAp","4554",0.0730188438300623,"45 to 54"
"67",1990,"HS","4554",0.0598824418755747,"45 to 54","BAo","2534",0.365665464230391,"25 to 34"
"68",1990,"HS","4554",0.0598824418755747,"45 to 54","BAo","3544",0.125856744252695,"35 to 44"
"69",1990,"HS","4554",0.0598824418755747,"45 to 54","BAo","4554",0.0641652868792311,"45 to 54"
"70",1990,"HS","4554",0.0598824418755747,"45 to 54","BAp","2534",0.361296789306803,"25 to 34"
"71",1990,"HS","4554",0.0598824418755747,"45 to 54","BAp","3544",0.128517227685652,"35 to 44"
"72",1990,"HS","4554",0.0598824418755747,"45 to 54","BAp","4554",0.0730188438300623,"45 to 54"
"73",2000,"HS","2534",0.33165454225482,"25 to 34","BAo","2534",0.393957934136195,"25 to 34"
"74",2000,"HS","2534",0.33165454225482,"25 to 34","BAo","3544",0.153629862597413,"35 to 44"
"75",2000,"HS","2534",0.33165454225482,"25 to 34","BAo","4554",0.090974724299238,"45 to 54"
"76",2000,"HS","2534",0.33165454225482,"25 to 34","BAp","2534",0.387490564497564,"25 to 34"
"77",2000,"HS","2534",0.33165454225482,"25 to 34","BAp","3544",0.154123816348872,"35 to 44"
"78",2000,"HS","2534",0.33165454225482,"25 to 34","BAp","4554",0.0920841686800982,"45 to 54"
"79",2000,"HS","3544",0.169937032522031,"35 to 44","BAo","2534",0.393957934136195,"25 to 34"
"80",2000,"HS","3544",0.169937032522031,"35 to 44","BAo","3544",0.153629862597413,"35 to 44"
"81",2000,"HS","3544",0.169937032522031,"35 to 44","BAo","4554",0.090974724299238,"45 to 54"
"82",2000,"HS","3544",0.169937032522031,"35 to 44","BAp","2534",0.387490564497564,"25 to 34"
"83",2000,"HS","3544",0.169937032522031,"35 to 44","BAp","3544",0.154123816348872,"35 to 44"
"84",2000,"HS","3544",0.169937032522031,"35 to 44","BAp","4554",0.0920841686800982,"45 to 54"
"85",2000,"HS","4554",0.0944280890847999,"45 to 54","BAo","2534",0.393957934136195,"25 to 34"
"86",2000,"HS","4554",0.0944280890847999,"45 to 54","BAo","3544",0.153629862597413,"35 to 44"
"87",2000,"HS","4554",0.0944280890847999,"45 to 54","BAo","4554",0.090974724299238,"45 to 54"
"88",2000,"HS","4554",0.0944280890847999,"45 to 54","BAp","2534",0.387490564497564,"25 to 34"
"89",2000,"HS","4554",0.0944280890847999,"45 to 54","BAp","3544",0.154123816348872,"35 to 44"
"90",2000,"HS","4554",0.0944280890847999,"45 to 54","BAp","4554",0.0920841686800982,"45 to 54"
"91",2001,"HS","2534",0.344606892628011,"25 to 34","BAo","2534",0.392514840878452,"25 to 34"
"92",2001,"HS","2534",0.344606892628011,"25 to 34","BAo","3544",0.152492291381942,"35 to 44"
"93",2001,"HS","2534",0.344606892628011,"25 to 34","BAo","4554",0.0931347984403595,"45 to 54"
"94",2001,"HS","2534",0.344606892628011,"25 to 34","BAp","2534",0.38356864658908,"25 to 34"
"95",2001,"HS","2534",0.344606892628011,"25 to 34","BAp","3544",0.154815061674055,"35 to 44"
