"","year","edu","age","rate","age_range"
"1",1960,"HS","2534",0.109533164351255,"25 to 34"
"2",1960,"HS","3544",0.0686030915299326,"35 to 44"
"3",1960,"HS","4554",0.0684079151982292,"45 to 54"
"4",1970,"HS","2534",0.10940002390343,"25 to 34"
"5",1970,"HS","3544",0.0651196369636964,"35 to 44"
"6",1970,"HS","4554",0.0583343860362166,"45 to 54"
"7",1980,"HS","2534",0.16173134437427,"25 to 34"
"8",1980,"HS","3544",0.0642910182194713,"35 to 44"
"9",1980,"HS","4554",0.0503656291012048,"45 to 54"
"10",1990,"HS","2534",0.277749135455863,"25 to 34"
"11",1990,"HS","3544",0.112100427354988,"35 to 44"
"12",1990,"HS","4554",0.0598824418755747,"45 to 54"
"13",2000,"HS","2534",0.33165454225482,"25 to 34"
"14",2000,"HS","3544",0.169937032522031,"35 to 44"
"15",2000,"HS","4554",0.0944280890847999,"45 to 54"
"16",2001,"HS","2534",0.344606892628011,"25 to 34"
"17",2001,"HS","3544",0.16870156293102,"35 to 44"
"18",2001,"HS","4554",0.0918900715192046,"45 to 54"
"19",2002,"HS","2534",0.349036651115007,"25 to 34"
"20",2002,"HS","3544",0.169636083965829,"35 to 44"
"21",2002,"HS","4554",0.0964385422818984,"45 to 54"
"22",2003,"HS","2534",0.358187689511334,"25 to 34"
"23",2003,"HS","3544",0.174170086495908,"35 to 44"
"24",2003,"HS","4554",0.102394188761345,"45 to 54"
"25",2004,"HS","2534",0.370810225466832,"25 to 34"
"26",2004,"HS","3544",0.182358541611162,"35 to 44"
"27",2004,"HS","4554",0.107884662439144,"45 to 54"
"28",2005,"HS","2534",0.387068030631773,"25 to 34"
"29",2005,"HS","3544",0.186976371158716,"35 to 44"
"30",2005,"HS","4554",0.114840615808277,"45 to 54"
"31",2006,"HS","2534",0.431216238752097,"25 to 34"
"32",2006,"HS","3544",0.220507466989548,"35 to 44"
"33",2006,"HS","4554",0.138378191752433,"45 to 54"
"34",2007,"HS","2534",0.444138583513574,"25 to 34"
"35",2007,"HS","3544",0.225897387792479,"35 to 44"
"36",2007,"HS","4554",0.140283593194487,"45 to 54"
"37",2008,"HS","2534",0.459916218901874,"25 to 34"
"38",2008,"HS","3544",0.235305485409925,"35 to 44"
"39",2008,"HS","4554",0.153727207956101,"45 to 54"
"40",2009,"HS","2534",0.484501840828203,"25 to 34"
"41",2009,"HS","3544",0.246810174729439,"35 to 44"
"42",2009,"HS","4554",0.157525254069592,"45 to 54"
"43",2010,"HS","2534",0.494222139562898,"25 to 34"
"44",2010,"HS","3544",0.252517645823876,"35 to 44"
"45",2010,"HS","4554",0.163883155196277,"45 to 54"
"46",2011,"HS","2534",0.511570323560324,"25 to 34"
"47",2011,"HS","3544",0.262679635633146,"35 to 44"
"48",2011,"HS","4554",0.169826341947172,"45 to 54"
"49",2012,"HS","2534",0.523521184026009,"25 to 34"
"50",2012,"HS","3544",0.268756070958951,"35 to 44"
"51",2012,"HS","4554",0.170317392695389,"45 to 54"
