"","year","edu","age","rate","age_range"
"1",1960,"HS","2534",0.0750199752440071,"25 to 34"
"2",1960,"HS","3544",0.0530083261233372,"35 to 44"
"3",1960,"HS","4554",0.0605073626443399,"45 to 54"
"4",1970,"HS","2534",0.0830790227924116,"25 to 34"
"5",1970,"HS","3544",0.0515483954563124,"35 to 44"
"6",1970,"HS","4554",0.0495133801344896,"45 to 54"
"7",1980,"HS","2534",0.122494184743702,"25 to 34"
"8",1980,"HS","3544",0.0530630035290975,"35 to 44"
"9",1980,"HS","4554",0.0409996389710217,"45 to 54"
"10",1990,"HS","2534",0.21128473532964,"25 to 34"
"11",1990,"HS","3544",0.0891883153230305,"35 to 44"
"12",1990,"HS","4554",0.0497853738147245,"45 to 54"
"13",2000,"HS","2534",0.273794111739321,"25 to 34"
"14",2000,"HS","3544",0.13768341570609,"35 to 44"
"15",2000,"HS","4554",0.0776742388850753,"45 to 54"
"16",2001,"HS","2534",0.289424176338006,"25 to 34"
"17",2001,"HS","3544",0.14065004532163,"35 to 44"
"18",2001,"HS","4554",0.0796906625958018,"45 to 54"
"19",2002,"HS","2534",0.294082226548106,"25 to 34"
"20",2002,"HS","3544",0.14351893826366,"35 to 44"
"21",2002,"HS","4554",0.0820854442846899,"45 to 54"
"22",2003,"HS","2534",0.305289124955986,"25 to 34"
"23",2003,"HS","3544",0.150826193862962,"35 to 44"
"24",2003,"HS","4554",0.0881522528003166,"45 to 54"
"25",2004,"HS","2534",0.321486680289224,"25 to 34"
"26",2004,"HS","3544",0.154408026429262,"35 to 44"
"27",2004,"HS","4554",0.0952579502367679,"45 to 54"
"28",2005,"HS","2534",0.334629163775711,"25 to 34"
"29",2005,"HS","3544",0.160968397359397,"35 to 44"
"30",2005,"HS","4554",0.0983083051605591,"45 to 54"
"31",2006,"HS","2534",0.364007036357072,"25 to 34"
"32",2006,"HS","3544",0.184254031111201,"35 to 44"
"33",2006,"HS","4554",0.11404108156195,"45 to 54"
"34",2007,"HS","2534",0.377144895768292,"25 to 34"
"35",2007,"HS","3544",0.190258985836086,"35 to 44"
"36",2007,"HS","4554",0.11527777120545,"45 to 54"
"37",2008,"HS","2534",0.391480371087086,"25 to 34"
"38",2008,"HS","3544",0.197177159838155,"35 to 44"
"39",2008,"HS","4554",0.126295721413335,"45 to 54"
"40",2009,"HS","2534",0.413165920818105,"25 to 34"
"41",2009,"HS","3544",0.207803318848482,"35 to 44"
"42",2009,"HS","4554",0.126749080126914,"45 to 54"
"43",2010,"HS","2534",0.422182571171318,"25 to 34"
"44",2010,"HS","3544",0.215700931668555,"35 to 44"
"45",2010,"HS","4554",0.131722712841567,"45 to 54"
"46",2011,"HS","2534",0.440610480991356,"25 to 34"
"47",2011,"HS","3544",0.224859777387758,"35 to 44"
"48",2011,"HS","4554",0.136156496736669,"45 to 54"
"49",2012,"HS","2534",0.454515577642204,"25 to 34"
"50",2012,"HS","3544",0.228394068580043,"35 to 44"
"51",2012,"HS","4554",0.138709505681622,"45 to 54"
